fid,LATITUD,LONGITUD,PROGRESIVA,Z
"338",-34.5654532334583,-58.5724245694868,6778.43,13.07
"339",-34.5654997132942,-58.5722126917331,6798.54,11.11
"340",-34.5655461927519,-58.572000813798,6818.65,13.77
"341",-34.5655926718315,-58.5717889356814,6838.77,13.14
"342",-34.5656391505328,-58.5715770573832,6858.88,14.36
"343",-34.5656856288559,-58.5713651789037,6879,12.74
"344",-34.5657321068008,-58.5711533002426,6899.11,13.13
"345",-34.5657785843675,-58.5709414214001,6919.22,14.47
"346",-34.565825061556,-58.5707295423761,6939.34,12.4
"347",-34.5658715383662,-58.5705176631706,6959.45,18.56
"348",-34.5659180147983,-58.5703057837837,6979.57,16.34
"349",-34.5659644908522,-58.5700939042154,6999.68,15.13
"350",-34.5660109665278,-58.5698820244656,7019.79,16.52
"351",-34.5660574418252,-58.5696701445344,7039.91,11.75
"352",-34.5661039167444,-58.5694582644218,7060.02,16.22
"353",-34.5661503912854,-58.5692463841277,7080.14,13.75
"354",-34.5661968654481,-58.5690345036522,7100.25,18.95
"355",-34.5662433392327,-58.5688226229953,7120.36,16.29
"356",-34.566289812639,-58.568610742157,7140.48,12.17
"357",-34.5663362856671,-58.5683988611373,7160.59,16.39
"358",-34.5663827583169,-58.5681869799362,7180.71,17.97
"359",-34.5664292305885,-58.5679750985537,7200.82,15
"360",-34.5664757024819,-58.5677632169898,7220.94,16.34
"361",-34.5665221739971,-58.5675513352446,7241.05,13.37
"362",-34.566568645134,-58.567339453318,7261.16,18.11
"363",-34.5666151158926,-58.56712757121,7281.28,17.55
"364",-34.5666615862731,-58.5669156889206,7301.39,18.26
"365",-34.5667080562753,-58.5667038064499,7321.51,20
"366",-34.5667545258992,-58.5664919237979,7341.62,15.68
"367",-34.5668009951449,-58.5662800409645,7361.73,16.12
"368",-34.5668474640124,-58.5660681579497,7381.85,19.89
"369",-34.5668939325016,-58.5658562747536,7401.96,24.33
"370",-34.5669404006126,-58.5656443913762,7422.08,21.84
"371",-34.5669868683453,-58.5654325078175,7442.19,25.02
"372",-34.5670333356998,-58.5652206240775,7462.3,22.87
"373",-34.567079802676,-58.5650087401561,7482.42,23.94
"374",-34.5671262692739,-58.5647968560535,7502.53,25.39
"375",-34.5671727354936,-58.5645849717695,7522.65,21.25
"376",-34.5672192013351,-58.5643730873043,7542.76,23.84
"377",-34.5672656667983,-58.5641612026577,7562.87,22.04
"378",-34.5673121318832,-58.5639493178299,7582.99,20.78
"379",-34.5673585965898,-58.5637374328208,7603.1,24.55
"380",-34.5674050609182,-58.5635255476304,7623.22,22.39
"381",-34.5674515248683,-58.5633136622587,7643.33,22.68
"382",-34.5674979884402,-58.5631017767058,7663.44,22.66
"383",-34.5675444516338,-58.5628898909717,7683.56,20.63
"384",-34.5675909144491,-58.5626780050563,7703.67,28.06
"385",-34.5676373768861,-58.5624661189596,7723.79,28.8
"386",-34.5676838389448,-58.5622542326817,7743.9,24.67
"387",-34.5677303006253,-58.5620423462226,7764.01,22.82
"388",-34.5677767619275,-58.5618304595822,7784.13,26.3
"389",-34.5678232228514,-58.5616185727606,7804.24,26.38
"390",-34.5678696833971,-58.5614066857578,7824.36,22.44
"391",-34.5679161435644,-58.5611947985738,7844.47,30.27
"392",-34.5679626033535,-58.5609829112086,7864.58,31.16
"393",-34.5680090627642,-58.5607710236622,7884.7,25.33
"394",-34.5680555217967,-58.5605591359346,7904.81,39.86
"395",-34.5681019804509,-58.5603472480258,7924.93,47.11
"396",-34.5681484387268,-58.5601353599358,7945.04,41.17
"397",-34.5681948966244,-58.5599234716646,7965.15,33.45
"398",-34.5682413541437,-58.5597115832123,7985.27,29.9
"399",-34.5682878112847,-58.5594996945788,8005.38,27.79
"400",-34.5683342680475,-58.5592878057641,8025.5,28.64
"401",-34.5683807244319,-58.5590759167683,8045.61,26.48
"402",-34.568427180438,-58.5588640275914,8065.72,27.18
"403",-34.5684736360658,-58.5586521382332,8085.84,28.98
"404",-34.5685200913153,-58.558440248694,8105.95,31.42
"405",-34.5685665461865,-58.5582283589736,8126.07,33.81
"406",-34.5686130006794,-58.5580164690721,8146.18,34.82
"407",-34.5686594547939,-58.5578045789895,8166.29,36.07
"408",-34.5687059085302,-58.5575926887257,8186.41,34.11
"409",-34.5687523618881,-58.5573807982808,8206.52,33.28
"410",-34.5687988148678,-58.5571689076549,8226.64,31.39
"411",-34.5688452674691,-58.5569570168478,8246.75,32.11
"412",-34.5688917196921,-58.5567451258596,8266.86,27.22
"413",-34.5689381715367,-58.5565332346904,8286.98,27
"414",-34.5689846230031,-58.5563213433401,8307.09,27.06
"415",-34.5690310740911,-58.5561094518086,8327.21,29.64
"416",-34.5690775248008,-58.5558975600962,8347.32,29.37
"417",-34.5691239751322,-58.5556856682026,8367.43,28.62
"418",-34.5691704250852,-58.555473776128,8387.55,39.13
"419",-34.5692168746599,-58.5552618838723,8407.66,46.33
"420",-34.5692633238563,-58.5550499914356,8427.78,39.24
"421",-34.5693097726743,-58.5548380988178,8447.89,26.98
"422",-34.569356221114,-58.554626206019,8468,35.08
"423",-34.5694026691754,-58.5544143130392,8488.12,29.06
"424",-34.5694491168584,-58.5542024198783,8508.23,36.3
"425",-34.5694955641631,-58.5539905265364,8528.35,37.62
"426",-34.5695420110894,-58.5537786330135,8548.46,27.54
"427",-34.5695884576374,-58.5535667393096,8568.57,25.74
"428",-34.5696349038071,-58.5533548454247,8588.69,25.64
"429",-34.5696813495984,-58.5531429513588,8608.8,25.68
"430",-34.5697277950113,-58.5529310571119,8628.92,25.31
"431",-34.5697742400459,-58.552719162684,8649.03,28.27
"432",-34.5698206847022,-58.5525072680751,8669.14,25.81
"433",-34.5698671289801,-58.5522953732852,8689.26,27.17
"434",-34.5699135728796,-58.5520834783144,8709.37,31.91
"435",-34.5699600164008,-58.5518715831626,8729.49,27.96
"436",-34.5700064595436,-58.5516596878298,8749.6,26.76
"437",-34.5700529023081,-58.5514477923161,8769.72,26.85
"438",-34.5700993446941,-58.5512358966214,8789.83,29.4
"439",-34.5701457867019,-58.5510240007458,8809.94,25.23
"440",-34.5701922283312,-58.5508121046893,8830.06,29.71
